name,abb,CAS,synonyms,tags
polyamide MXD6,PARA,25805-74-7 (MXD6); 902465-02-5 (IXEF 300); 1008793-20-1,,Polyamides
Polyamides,PA,,,Polyamides
polyarylate,PAR,39281-59-9,,"Aromatic, Polyesters"
Polyarylsiloxanes,,,,"Aromatic, Polysiloxanes"
polybenzimidazole,PBI,27233-57-4; 32075-68-6; 32109-42-5; 928655-57-6; 1073316-,poly(benzimidazole),Aromatic
polybenzoxazine,BZ,,,Aromatic
polybismaleimide,BMI,"62238-79-3, 26140-67-0",,"Aromatic, Polyimides"
polycarbodihydridosilane,PCS,74056-94-3,,"Polysaccarides, Polysilanes"
polycarbonate,PC,25037-45-0; 25766-59-0,,Polycarbonates
polychloroprene,CR,9010-98-4,"Chloroprene rubber, Poly(2-chloro-1,3-butadiene), Neoprene","Halogenated, Polydienes & polydiene copolymers"
Polychlorotrifluoroethylene,PCTFE,9002-83-9,Poly(chlorotrifluoroethylene),"Halogenated, Polyolefins"
polydicyclopentadiene,PDCPD,,,Others
Polyester,,,,Polyesters
polyethylene,PE,9002-88-4,"poly(ethylene), polythene, polymethylene, poly(methylene)",Polyolefins
"polyethylene, chlorinated",CPE,63231-66-3,PEC,"Halogenated, Polyolefins"
"polyethylene, chlorosulfonated",CSP,9008-08-6; 68037-39-8,"CSM, CSPE","Halogenated, Polyolefins"
polyhexahydrotriazine,PHT,,poly(hexahydrotriazine),Others
polyhydridosilsesquioxane,PHSQ,,,"Others, Polysiloxanes"
polyisobutylene,PIB,9003-27-4; 9003-29-6 (oligomers),Poly(isobutylene),Polyolefins
Polyisoprene,,,Poly(1-methyl-1-butenylene),Polydienes & polydiene copolymers
polyketone,PK,88995-51-1,,Polyketones
Polymercaptan,,,,Polythiols
polymethacrylonitrile,PMAN,25067-61-2,,Polyacrylonitriles
polymethylphenylsilylene,PMPS,76188-55-1,,"Aromatic, Others, Polysiloxanes"
polymethylsilsesquioxane,PMSQ,68554-70-1,,"Others, Polysiloxanes"
polynorbornene,PN,25038-76-0,,Polydienes & polydiene copolymers
Polyolefins,PO,,polyalkenes,Polyolefins
Polyoxymethylene,POM,"9002-81-7, 25231-38-3","Poly(oxymethylene), polyformaldehyde, polyacetal",Polyethers
polyphenylsilsesquioxane,PPSQ,51350-55-1,poly(phenylsilsesquioxane),"Aromatic, Others, Polysiloxanes"
polyphthalamide,PPA,25750-23-6; 27135-32-6,poly(phthalamide),"Aromatic, Polyamine"
polypropylene,PP,9003-07-0,,Polyolefins
polypropylene glycol,PPG,25322-69-4,,Polyethers
"Polypropylene, Atactic",APP,,Atactic PP,Polyolefins
"Polypropylene, Hemiisotactic",,,,Polyolefins
"polypropylene, isotactic","PP, iso",9003-07-0,,Polyolefins
"polypropylene, maleic anhydride modified",PPMA,25722-45-6,Poly(Styrene-Co-N-Alkylmaleimide)s,"Polyesters, Polyolefins"
"polypropylene, syndiotactic","PP,syndio",26063-22-9,,Polyolefins
"Polysaccharides, Synthetic",,,,Polysaccarides
Polysilanes,,,Poly(silanes),Polysilanes
Polysiloxanes,,,Silicone elastomers,Polysiloxanes
polysilylenemethylene,PSM,,,"Others, Polysilanes"
Polysilylpropynes,,,Poly(silylpropyne),"Others, Polysilanes"
polystyrene,PS,9003-53-6,,"Aromatic, Polystyrenes"
"Polystyrene, High Impact",,,,"Aromatic, Polystyrenes"
"polystyrene, isotactic","PS, iso",25086-18-4,,"Aromatic, Polystyrenes"
"Polystyrene, Stereoregular",,,,"Aromatic, Polystyrenes"
"polystyrene, syndiotactic","PS, trans",28325-75-9,,"Aromatic, Polystyrenes"
polysulfone,PSU,25135-51-7,Polysulphone,Polysulphones
Polyterpene Resins,,,,Other resins
polytetrafluoroethylene,PTFE,9002-84-0,,"Halogenated, Polyolefins"
Polythiol,,,,Polythiols
polyurethane,PU,"9009-54-5, 75701-44-9","poly(urethane), spandex, lycra, elastane",Polyurethanes
"Polyurethane Elastomers, Segmented",,,Polyurethane elastomers,Polyurethanes
Polyurethane fibres,,,,Polyurethanes
Polyurethane foams,,,,Polyurethanes
Polyurethane Ionomers,,,,Polyurethanes
Polyvinyltetrazoles,,,Poly(vinyltetrazoles),Others
Sebacic acid polyanhydride,,,Poly(sebacic anhydride),Polyanhydrides
